isin,bond_name,rating,bond_yield,min_Investment,payout_frequency,logo_url,detail_url,tenure,maturity_date
INE420C07163,Paisalo Dec ’28,AA,10.50%,"₹97,225",Quarterly,https://cdn.bondscanner.com/issuer-assets/59RPX3W75H/logo_1770037027.png,https://bondscanner.com/deal-details/INE420C07163/X0WZEP0X9Z,2.42,09-12-2028
INE420C07189,Paisalo Sep ’28,AA,10.35%,"₹98,472",Monthly,https://cdn.bondscanner.com/issuer-assets/59RPX3W75H/logo_1770037027.png,https://bondscanner.com/deal-details/INE420C07189/M13MTMYZR5,2.19,18-09-2028
INE423A07484,Adani Enterprises Jan ’28,AA-,8.50%,"₹10,410",Annual,https://cdn.bondscanner.com/issuer-assets/XT359A167O/logo_1770021137.png,https://bondscanner.com/deal-details/INE423A07484/OTAASPKNFW,1.51,12-01-2028
INE423A07500,Adani Enterprises Jan ’28,AA-,8.50%,"₹10,422",Annual,https://cdn.bondscanner.com/issuer-assets/XT359A167O/logo_1770021137.png,https://bondscanner.com/deal-details/INE423A07500/2K2TGHWEPW,1.51,12-01-2028
INE516Q08497,Asirvad Micro Finance May ’33,AA-,10.55%,"₹101,889",Annual,https://cdn.bondscanner.com/issuer-assets/H1L058KGHV/logo_1781523366.png,https://bondscanner.com/deal-details/INE516Q08497/ZFAXKX3UDC,6.88,26-05-2033
INE516Y07444,Piramal Finance Sep ’31,AA,9.20%,"₹74,726",Semi-Annual,https://cdn.bondscanner.com/issuer-assets/F1771RZ0G1/logo_1771941078.png,https://bondscanner.com/deal-details/INE516Y07444/ZE0T0BSV48,5.22,26-09-2031
INE530B07617,IIFL Finance Mar ’28,AA,8.60%,"₹102,979",Annual,https://cdn.bondscanner.com/issuer-assets/9ITA5DZC9S/logo_1773832206.png,https://bondscanner.com/deal-details/INE530B07617/I6IJW6YGZP,1.66,06-03-2028
INE549K07HB7,Muthoot Fincorp Oct ’28,AA,9.15%,"₹100,307",Monthly,https://cdn.bondscanner.com/issuer-assets/X7XWMS7KU9/logo_1768821863.png,https://bondscanner.com/deal-details/INE549K07HB7/28SO3Q7O8X,2.31,29-10-2028
INE549K07HD3,Muthoot Fincorp Dec ’28,AA,9.15%,"₹100,225",Monthly,https://cdn.bondscanner.com/issuer-assets/X7XWMS7KU9/logo_1768821863.png,https://bondscanner.com/deal-details/INE549K07HD3/ZYDIPPKOWZ,2.43,12-12-2028
INE549K07HQ5,Muthoot Fincorp Mar ’29,AA,9.00%,"₹100,292",Monthly,https://cdn.bondscanner.com/issuer-assets/X7XWMS7KU9/logo_1768821863.png,https://bondscanner.com/deal-details/INE549K07HQ5/09X2TTN5US,2.66,06-03-2029
INE549K08590,Muthoot Fincorp Dec ’33,AA,10.50%,"₹102,150",Monthly,https://cdn.bondscanner.com/issuer-assets/X7XWMS7KU9/logo_1768821863.png,https://bondscanner.com/deal-details/INE549K08590/2H3NUW2RNS,7.48,30-12-2033
INE583D07570,UGRO Capital Oct ’26,A+,9.00%,"₹102,560",Annual,https://cdn.bondscanner.com/strapi-assets/Frame_1707480418_0c5badaaed.webp,https://bondscanner.com/deal-details/INE583D07570/WB6NNEUHP9,0.29,24-10-2026
INE583D07638,UGRO Capital Jun ’29,A+,10.55%,"₹9,955",Monthly,https://cdn.bondscanner.com/strapi-assets/Frame_1707480418_0c5badaaed.webp,https://bondscanner.com/deal-details/INE583D07638/C0P5UM3Y27,2.94,16-06-2029
INE741K07611,CreditAccess Grameen Jun ’28,AA-,9.20%,"₹100,957",Quarterly,https://cdn.bondscanner.com/issuer-assets/0ABCY3V05L/logo_1783078838.png,https://bondscanner.com/deal-details/INE741K07611/E3J7Q0I4WG,1.97,26-06-2028
INE859C07253,IKF Finance Mar ’28,AA-,9.20%,"₹10,010",Quarterly,https://cdn.bondscanner.com/issuer-assets/77POWP4NTI/logo_1780550936.png,https://bondscanner.com/deal-details/INE859C07253/E8UT05COB5,1.67,10-03-2028
INE926R07035,Unifinz Capital India May ’28,BBB-,15.50%,"₹9,776",Monthly,https://cdn.bondscanner.com/issuer-assets/3W31IEDGNY/logo_1772021730.png,https://bondscanner.com/deal-details/INE926R07035/CLV7N8D6S4,1.87,20-05-2028
INE964R07093,Regency Fincorp Dec ’28,BBB-,14.50%,"₹9,848",Monthly,https://cdn.bondscanner.com/issuer-assets/FPJV5YWFWN/logo_1770722950.png,https://bondscanner.com/deal-details/INE964R07093/R1GBWJ18WI,2.45,19-12-2028
